Part No.,Part Description,Vehicle Identification No.(VIN),Supplier,Defect Code,Defect Description/Reason,Service Cost($),Replacement Cost,Claim Value($),Possible Causes,Responsibility,Possible Causes Source,Claim Source,Claim Source
28392690,Camshaft,1HGBH41JXMN109186,?SURIEEN,P0012,Intake Camshaft Position Actuator Circuit/Open (Bank 1),$800,"$1,200",$400,Open or short in the VCT circuit,Dealer,Camshaft Repair Cost | Car Construction (newkidscar.com),https://www.motorverso.com/p0010/,
53395672,Camshaft,1HGBH41JXMN109187,?SURIEEN,P0012,Intake Camshaft Position Actuator Circuit/Open (Bank 1),$800,"$1,200",$400,Open VPWR circuit,OEM,https://www.yourmechanic.com/article/p0010-obd-ii-trouble-code-a-camshaft-position-actuator-circuit-bank-1-by-paul-lancette,https://www.motorverso.com/p0010/,
53375677,Camshaft,1HGBH41JXMN109188,Kolben Compressor Spares (India),P0012,Intake Camshaft Position Actuator Circuit/Open (Bank 1),$826,"$1,351",$525,Open or short in the VCT solenoid valve,Dealer,https://www.yourmechanic.com/article/p0010-obd-ii-trouble-code-a-camshaft-position-actuator-circuit-bank-1-by-paul-lancette,https://www.motorverso.com/p0010/,
57795680,Camshaft,1HGBH41JXMN109189,?SURIEEN,P0012,Intake Camshaft Position Timing - Over-Advanced (Bank 1),$100,$300,$200,Continuous oil flow to the VCT piston chamber,OEM,https://axlewise.com/diagnostics/obd-codes/p0011/,https://autochimps.com/p0011-code/,
73397681,Camshaft,1HGBH41JXMN109190,?SURIEEN,P0012,Intake Camshaft Position Timing - Over-Advanced (Bank 1),$100,$300,$200,Camshaft timing improperly set,Supplier,"https://axlewise.com/diagnostics/obd-codes/p0011/https://www.alibaba.com/product-detail/Stock-high-quality-camshafts-and-bearing_1600435376798.html?spm=a2700.pccps_detail.0.0.7c5c69fbOAiK4q
",https://autochimps.com/p0011-code/,
23392682,Camshaft,1HGBH41JXMN109190,?SURIEEN,P0012,Intake Camshaft Position Timing - Over-Advanced (Bank 1),$100,$300,$200,VCT solenoid valve stuck open,Supplier,https://axlewise.com/diagnostics/obd-codes/p0011/,https://autochimps.com/p0011-code/,
53375683,Camshaft,1HGBH41JXMN110190,?SURIEEN,P0012,Intake Camshaft Position Timing - Over-Advanced (Bank 1),$100,$300,$200,Camshaft advance mechanism binding (VCT unit),OEM,https://axlewise.com/diagnostics/obd-codes/p0011/,https://autochimps.com/p0011-code/,
57795684,Camshaft,1HGBH41JXMN111190,?SURIEEN,P0012,Intake Camshaft Position Timing - Over-Retarded (Bank 1),$150,$550,$400,Camshaft timing improperly set,OEM,https://www.carparts.com/blog/p0012-code-intake-a-camshaft-position-timing-over-retarded-bank-1/,https://www.fixdapp.com/blog/p0012-code/,
73397687,Camshaft,1HGBH41JXMN112190,?SURIEEN,P0012,Intake Camshaft Position Timing - Over-Retarded (Bank 1),$150,"$4,150","$4,000",Continuous oil flow to the VCT piston chamber,OEM,https://www.carparts.com/blog/p0012-code-intake-a-camshaft-position-timing-over-retarded-bank-1/,https://www.fixdapp.com/blog/p0012-code/,
23392686,Camshaft,1HGBH41JXMN113190,?SURIEEN,P0012,Intake Camshaft Position Timing - Over-Retarded (Bank 1),$150,"$3,150","$3,000",VCT solenoid valve stuck open,Dealer,https://www.carparts.com/blog/p0012-code-intake-a-camshaft-position-timing-over-retarded-bank-1/,https://www.fixdapp.com/blog/p0012-code/,
53375687,Camshaft,1HGBH41JXMN114190,?SURIEEN,P0012,Intake Camshaft Position Timing - Over-Retarded (Bank 1),$150,$550,$400,Camshaft advance mechanism binding (VCT unit),OEM,https://www.carparts.com/blog/p0012-code-intake-a-camshaft-position-timing-over-retarded-bank-1/,https://www.fixdapp.com/blog/p0012-code/,
57795688,Camshaft,1HGBH41JXMN115190,Kolben Compressor Spares (India),P0012,Crankshaft Position - Camshaft Position Correlation - Bank 1 Sensor A,$85,"$1,964","$1,879",Worn timing chain tensioner,Dealer,https://www.carparts.com/blog/p0012-code-intake-a-camshaft-position-timing-over-retarded-bank-1/,"https://www.fixdapp.com/blog/p0016-code/#:~:text=Fixing%20Code%20P0016%3F-,What%20Does%20Code%20P0016%20Mean%3F,the%20intake%20camshaft%20position%20sensor.&text=Repair%20Urgency%3A%20Fix%20this%20code,to%20avoid%20internal%20engine%20damage.",
73397689,Camshaft,1HGBH41JXMN116190,Kolben Compressor Spares (India),P0012,Crankshaft Position - Camshaft Position Correlation - Bank 1 Sensor A,$85,"$1,964","$1,879",Worn timing chain tensioner arm,Dealer,https://www.carparts.com/blog/p0012-code-intake-a-camshaft-position-timing-over-retarded-bank-1/,"https://www.fixdapp.com/blog/p0016-code/#:~:text=Fixing%20Code%20P0016%3F-,What%20Does%20Code%20P0016%20Mean%3F,the%20intake%20camshaft%20position%20sensor.&text=Repair%20Urgency%3A%20Fix%20this%20code,to%20avoid%20internal%20engine%20damage.",
23392690,Camshaft,1HGBH41JXMN117190,Kolben Compressor Spares (India),P0012,Crankshaft Position - Camshaft Position Correlation - Bank 1 Sensor A,$85,"$1,709","$1,624",Loose timing chain,Dealer,https://www.carparts.com/blog/p0012-code-intake-a-camshaft-position-timing-over-retarded-bank-1/,"https://www.fixdapp.com/blog/p0016-code/#:~:text=Fixing%20Code%20P0016%3F-,What%20Does%20Code%20P0016%20Mean%3F,the%20intake%20camshaft%20position%20sensor.&text=Repair%20Urgency%3A%20Fix%20this%20code,to%20avoid%20internal%20engine%20damage.",
53375671,Camshaft,1HGBH41JXMN118190,Kolben Compressor Spares (India),P0012,Crankshaft Position - Camshaft Position Correlation - Bank 2 Sensor A,$250,"$2,050","$1,800",Worn timing chain tensioner,Supplier,https://www.yourmechanic.com/article/p0018-obd-ii-trouble-code-crankshaft-position-camshaft-position-correlation-bank-2-sensor-a-by-jay-safford,Camshaft Repair Cost | Car Construction (newkidscar.com),
57795692,Camshaft,1HGBH41JXMN119190,Kolben Compressor Spares (India),P0012,Crankshaft Position - Camshaft Position Correlation - Bank 2 Sensor A,$250,"$1,950","$1,700",Worn timing chain tensioner arm,Dealer,https://www.yourmechanic.com/article/p0018-obd-ii-trouble-code-crankshaft-position-camshaft-position-correlation-bank-2-sensor-a-by-jay-safford,Camshaft Repair Cost | Car Construction (newkidscar.com),
73397693,Camshaft,1HGBH41JXMN120190,Kolben Compressor Spares (India),P0012,Crankshaft Position - Camshaft Position Correlation - Bank 2 Sensor A,$250,"$2,050","$1,800",Loose timing chain,Dealer,https://www.yourmechanic.com/article/p0018-obd-ii-trouble-code-crankshaft-position-camshaft-position-correlation-bank-2-sensor-a-by-jay-safford,Camshaft Repair Cost | Car Construction (newkidscar.com),
23392694,Microprocessor ,1HGBH41JXMN121190,Infineon Technologies AG,P0068,Evaporative System Monitoring Processor Performance,$134.00,"$1,034.00",$900.00,Module communications network concerns,Dealer,https://partsavatar.ca/p260f-obd-ii-trouble-code-evaporative-system-monitoring-processor-performance-solution-control-module,,
53375675,Microprocessor ,1HGBH41JXMN122190,Infineon Technologies AG,P0068,Evaporative System Monitoring Processor Performance,$134.00,"$1,234.00","$1,100.00",PCM calibration level,Dealer,https://partsavatar.ca/p260f-obd-ii-trouble-code-evaporative-system-monitoring-processor-performance-solution-control-module,,
57795696,Microprocessor ,1HGBH41JXMN123190,Infineon Technologies AG,P0068,Evaporative System Monitoring Processor Performance,$134.00,"$1,434.00","$1,300.00",Damaged PCM,OEM,https://partsavatar.ca/p260f-obd-ii-trouble-code-evaporative-system-monitoring-processor-performance-solution-control-module,,
73397697,Camshaft,1HGBH41JXMN124190,Kolben Compressor Spares (India),P0012,Intake Camshaft Position Actuator Circuit/Open (Bank 2),$150,$750,$600,Open or short in the VCT circuit,Dealer,https://www.carparts.com/blog/p0020-code-intake-a-camshaft-position-actuator-circuit-open-bank-2/,https://www.fixdapp.com/blog/p0020-code/,
23392698,Camshaft,1BKBH41JXMN109190,Kolben Compressor Spares (India),P0012,Intake Camshaft Position Actuator Circuit/Open (Bank 2),$150,$450,$300,Open VPWR circuit,Dealer,https://www.carparts.com/blog/p0020-code-intake-a-camshaft-position-actuator-circuit-open-bank-2/,https://www.fixdapp.com/blog/p0020-code/,
53375677,Camshaft,1BKBH41JXMN110190,Kolben Compressor Spares (India),P0012,Intake Camshaft Position Actuator Circuit/Open (Bank 2),$150,$750,$600,Open or short in the VCT solenoid valve,Dealer,https://www.carparts.com/blog/p0020-code-intake-a-camshaft-position-actuator-circuit-open-bank-2/,https://www.fixdapp.com/blog/p0020-code/,
57795700,Camshaft,1BKBH41JXMN111190,Kolben Compressor Spares (India),P0012,Intake Camshaft Position Timing - Over-Advanced (Bank 2),$120,$455,$335,Continuous oil flow to the VCT piston chamber,OEM,https://www.carparts.com/blog/p0020-code-intake-a-camshaft-position-actuator-circuit-open-bank-2/,https://www.fixdapp.com/blog/p0021-code/,
73397701,Camshaft,1BKBH41JXMN112190,Kolben Compressor Spares (India),P0012,Intake Camshaft Position Timing - Over-Advanced (Bank 2),$120,$520,$400,Camshaft timing improperly set,Dealer,https://www.carparts.com/blog/p0020-code-intake-a-camshaft-position-actuator-circuit-open-bank-2/,https://www.fixdapp.com/blog/p0021-code/,
23392702,Camshaft,1BKBH41JXMN113190,Kolben Compressor Spares (India),P0012,Intake Camshaft Position Timing - Over-Advanced (Bank 2),$120,$520,$400,VCT solenoid valve stuck open,Dealer,https://www.carparts.com/blog/p0020-code-intake-a-camshaft-position-actuator-circuit-open-bank-2/,https://www.fixdapp.com/blog/p0021-code/,
53375703,Camshaft,1BKBH41JXMN114190,Kolben Compressor Spares (India),P0012,Intake Camshaft Position Timing - Over-Advanced (Bank 2),$120,$455,$335,Camshaft advance mechanism binding (VCT unit),Dealer,https://www.carparts.com/blog/p0020-code-intake-a-camshaft-position-actuator-circuit-open-bank-2/,https://www.fixdapp.com/blog/p0021-code/,
57795704,Camshaft,1BKBH41JXMN115190,Kolben Compressor Spares (India),P0012,Intake Camshaft Position Timing - Over-Retarded (Bank 2),$150,$550,$400,Camshaft timing improperly set,Dealer,"https://www.yourmechanic.com/article/p0022-obd-ii-trouble-code-camshaft-position-a-timing-over-retarded-bank-2-by-jay-safford#:~:text=P0022%20is%20the%20OBD%2DII,phase%20of%20the%20camshaft%20timing.",https://www.fixdapp.com/blog/p0022-code/,
73397707,Camshaft,1BKBH41JXMN116190,Kolben Compressor Spares (India),P0012,Intake Camshaft Position Timing - Over-Retarded (Bank 2),$150,$550,$400,Continuous oil flow to the VCT piston chamber,Dealer,"https://www.yourmechanic.com/article/p0022-obd-ii-trouble-code-camshaft-position-a-timing-over-retarded-bank-2-by-jay-safford#:~:text=P0022%20is%20the%20OBD%2DII,phase%20of%20the%20camshaft%20timing.",https://www.fixdapp.com/blog/p0022-code/,
23392706,Camshaft,1BKBH41JXMN117190,Kolben Compressor Spares (India),P0012,Intake Camshaft Position Timing - Over-Retarded (Bank 2),$150,$475,$325,VCT solenoid valve stuck open,Dealer,"https://www.yourmechanic.com/article/p0022-obd-ii-trouble-code-camshaft-position-a-timing-over-retarded-bank-2-by-jay-safford#:~:text=P0022%20is%20the%20OBD%2DII,phase%20of%20the%20camshaft%20timing.",https://www.fixdapp.com/blog/p0022-code/,
53375707,Camshaft,1BKBH41JXMN118190,Kolben Compressor Spares (India),P0012,Intake Camshaft Position Timing - Over-Retarded (Bank 2),$150,$475,$325,Camshaft advance mechanism binding (VCT unit),Dealer,"https://www.yourmechanic.com/article/p0022-obd-ii-trouble-code-camshaft-position-a-timing-over-retarded-bank-2-by-jay-safford#:~:text=P0022%20is%20the%20OBD%2DII,phase%20of%20the%20camshaft%20timing.",https://www.fixdapp.com/blog/p0022-code/,
57795708,Oxygen Sensor,1BKBH41JXMN119190,NTK oxygen sensors,P0012,Oxygen Sensor Signals Swapped Bank 1 Sensor 1/Bank 2 Sensor 1,$94.00,$655.00,$561.00,Crossed HO2S harness connectors,OEM,https://www.yourmechanic.com/article/p0040-obd-ii-trouble-code-oxygen-sensor-1-bank-1-by-spencer-clayton,https://www.digikey.com/en/products/detail/terasic-inc/P0040/2256178,
73397709,Oxygen Sensor,1BKBH41JXMN120190,NTK oxygen sensors,P0012,Oxygen Sensor Signals Swapped Bank 1 Sensor 1/Bank 2 Sensor 1,$94.00,$655.00,$561.00,Crossed HO2S wiring at the harness connectors,Dealer,https://www.yourmechanic.com/article/p0040-obd-ii-trouble-code-oxygen-sensor-1-bank-1-by-spencer-clayton,https://www.bridwellautocenter.com/oxygen-sensor-replacement-costs-2022/,
23392710,Oxygen Sensor,1BKBH41JXMN121190,NTK oxygen sensors,P0012,Oxygen Sensor Signals Swapped Bank 1 Sensor 1/Bank 2 Sensor 1,$94.00,$655.00,$561.00,Crossed HO2S wiring at the PCM connectors,Dealer,https://www.yourmechanic.com/article/p0040-obd-ii-trouble-code-oxygen-sensor-1-bank-1-by-spencer-clayton,https://www.bridwellautocenter.com/oxygen-sensor-replacement-costs-2022/,
53375711,Oxygen Sensor,1BKBH41JXMN122190,NTK oxygen sensors,P0012,Oxygen Sensor Signals Swapped Bank 1 Sensor 2/Bank 2 Sensor 2,$94.00,$669.00,$575.00,Crossed HO2S harness connectors,Dealer,"https://www.yourmechanic.com/article/p0041-obd-ii-trouble-code-oxygen-sensor-2-banks-1-and-2-by-spencer-clayton#:~:text=P0041%20means%20that%20the%20engine,Engine%20Light%20on%20the%20dash.",https://www.bridwellautocenter.com/oxygen-sensor-replacement-costs-2022/,
57795712,Oxygen Sensor,1BKBH41JXMN123190,NTK oxygen sensors,P0012,Oxygen Sensor Signals Swapped Bank 1 Sensor 2/Bank 2 Sensor 2,$94.00,$669.00,$575.00,Crossed HO2S wiring at the harness connectors,Supplier,"https://www.yourmechanic.com/article/p0041-obd-ii-trouble-code-oxygen-sensor-2-banks-1-and-2-by-spencer-clayton#:~:text=P0041%20means%20that%20the%20engine,Engine%20Light%20on%20the%20dash.",https://www.bridwellautocenter.com/oxygen-sensor-replacement-costs-2022/,
73397713,Oxygen Sensor,1BKBH41JXMN124190,NTK oxygen sensors,P0012,Oxygen Sensor Signals Swapped Bank 1 Sensor 2/Bank 2 Sensor 2,$94.00,$669.00,$575.00,Crossed HO2S wiring at the PCM connectors,OEM,https://www.carparts.com/blog/p0051-code-ho2s-heater-control-circuit-low-bank-2-sensor-1/,https://www.bridwellautocenter.com/oxygen-sensor-replacement-costs-2022/,
23392714,Heater Resistance,1HGBK41JXMN109190,PTC manufacture,P0012,"HO2S Heater Resistance (Bank 1, Sensor 1), (Bank 1, Sensor 2), (Bank 1, Sensor 3), and (Bank 2, Sensor 1)",$110.00,$410.00,$300.00,VPWR circuit open,OEM,"P0051 – Meaning, Causes, Symptoms, & Fixes - FIXD Best OBD2 Scanner",https://www.fixdapp.com/blog/p0051-code/,
53375715,Heater Resistance,1HGBK41JXMN110190,PTC manufacture,P0012,"HO2S Heater Resistance (Bank 1, Sensor 1), (Bank 1, Sensor 2), (Bank 1, Sensor 3), and (Bank 2, Sensor 1)",$110.00,$360.00,$250.00,HO2S heater circuit open,Dealer,"https://www.fixdapp.com/blog/p0051-code/
https://www.carparts.com/blog/p0051-code-ho2s-heater-control-circuit-low-bank-2-sensor-1/
",https://www.fixdapp.com/blog/p0051-code/,
57795716,Heater Resistance,1HGBK41JXMN111190,PTC manufacture,P0012,"HO2S Heater Resistance (Bank 1, Sensor 1), (Bank 1, Sensor 2), (Bank 1, Sensor 3), and (Bank 2, Sensor 1)",$110.00,$360.00,$250.00,HO2S heater circuit short in the harne,Dealer,https://www.fixdapp.com/blog/p0051-code/,https://www.fixdapp.com/blog/p0051-code/,
